%TITLE%
 FFC   201008/1800 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
  114.00,  15888.01,    -73.10,    -94.10,  -9999.00,  -9999.00
  108.92,  16154.00,    -73.44,    -94.44,    250.00,     31.00
  108.00,  16203.69,    -73.50,    -94.50,  -9999.00,  -9999.00
  104.00,  16422.95,    -75.10,    -94.10,  -9999.00,  -9999.00
  100.00,  16650.00,    -74.90,    -93.90,    255.00,     33.99
   98.40,  16743.97,    -72.70,    -93.70,  -9999.00,  -9999.00
   93.06,  17069.00,    -73.75,    -94.75,    290.00,     13.00
   88.31,  17374.00,    -74.73,    -95.73,    270.00,     25.00
   87.50,  17427.92,    -74.90,    -95.90,  -9999.00,  -9999.00
   83.85,  17678.00,    -73.73,    -96.13,    265.00,     20.01
   79.60,  17983.00,    -72.31,    -96.42,    310.00,     14.01
   75.57,  18288.00,    -70.88,    -96.70,    245.00,     10.00
   72.90,  18498.89,    -69.90,    -96.90,  -9999.00,  -9999.00
   71.75,  18593.00,    -69.90,    -97.29,    270.00,     13.00
   70.00,  18740.00,    -69.90,    -97.90,    295.00,     10.99
   68.16,  18898.00,    -70.15,    -98.15,    275.00,      4.99
   64.30,  19245.17,    -70.70,    -98.70,  -9999.00,  -9999.00
   60.00,  19658.06,    -68.70,    -97.70,  -9999.00,  -9999.00
   58.48,  19812.00,    -68.88,    -97.43,    235.00,     10.99
   56.70,  19996.85,    -69.10,    -97.10,  -9999.00,  -9999.00
   55.60,  20114.58,    -67.30,    -96.30,  -9999.00,  -9999.00
   55.58,  20117.00,    -67.29,    -96.29,    280.00,     18.01
   50.00,  20760.00,    -64.30,    -94.30,    325.00,      6.99
   47.90,  21022.81,    -63.10,    -93.10,  -9999.00,  -9999.00
   47.84,  21031.00,    -63.01,    -93.03,    315.00,     12.00
   45.54,  21336.00,    -59.66,    -90.56,     75.00,      0.99
   45.30,  21368.71,    -59.30,    -90.30,  -9999.00,  -9999.00
   41.60,  21899.07,    -61.30,    -92.30,  -9999.00,  -9999.00
   41.29,  21946.00,    -61.20,    -92.20,    250.00,     21.00
   37.44,  22555.00,    -59.92,    -90.92,    275.00,     12.00
   36.80,  22661.48,    -59.70,    -90.70,  -9999.00,  -9999.00
   35.00,  22975.83,    -57.90,    -89.90,  -9999.00,  -9999.00
   33.97,  23165.00,    -57.64,    -89.64,    265.00,     17.00
   32.36,  23470.00,    -57.22,    -89.22,    305.00,     16.01
   31.20,  23700.94,    -56.90,    -88.90,  -9999.00,  -9999.00
   30.84,  23774.00,    -56.37,    -88.37,    280.00,     16.01
   30.00,  23950.00,    -55.10,    -87.10,    290.00,     13.00
   28.04,  24384.00,    -52.90,    -85.48,    285.00,     10.99
   26.70,  24699.96,    -51.30,    -84.30,  -9999.00,  -9999.00
   25.51,  24994.00,    -51.89,    -84.89,    285.00,      6.00
   23.60,  25498.18,    -52.90,    -85.90,  -9999.00,  -9999.00
   23.22,  25603.00,    -52.48,    -85.72,    185.00,     12.00
   22.15,  25908.00,    -51.28,    -85.18,    180.00,     21.00
   22.00,  25952.45,    -51.10,    -85.10,  -9999.00,  -9999.00
   21.13,  26213.00,    -51.67,    -85.19,    230.00,     17.00
   20.20,  26505.53,    -52.30,    -85.30,  -9999.00,  -9999.00
   20.16,  26518.00,    -52.07,    -85.26,    230.00,     18.01
   20.00,  26570.00,    -51.10,    -85.10,    230.00,     18.01
   18.40,  27114.36,    -48.90,    -82.90,  -9999.00,  -9999.00
   17.54,  27432.00,    -48.01,    -82.24,    280.00,     15.00
   16.75,  27737.00,    -47.15,    -81.61,    250.00,     18.01
   15.27,  28346.00,    -45.44,    -80.35,    275.00,     19.00
   15.00,  28466.08,    -45.10,    -80.10,  -9999.00,  -9999.00
   13.32,  29261.00,    -45.00,    -80.00,    255.00,     23.00
   12.15,  29870.00,    -44.92,    -79.92,    265.00,     20.01
   11.90,  30011.41,    -44.90,    -79.90,  -9999.00,  -9999.00
   11.61,  30175.00,    -46.05,    -81.05,    225.00,     20.01
   11.60,  30181.47,    -46.10,    -81.10,  -9999.00,  -9999.00
   11.09,  30480.00,    -45.56,    -80.56,    240.00,     19.00
   10.60,  30785.00,    -45.01,    -80.01,    240.00,     17.00
   10.50,  30845.04,    -44.90,    -79.90,  -9999.00,  -9999.00
   10.12,  31090.00,    -45.80,    -80.80,    220.00,     15.00
   10.00,  31170.00,    -46.10,    -81.10,    220.00,     15.00
    9.90,  31236.74,    -46.50,    -81.50,  -9999.00,  -9999.00
    9.24,  31699.00,    -45.19,    -80.92,    225.00,     33.99
    9.00,  31871.60,    -44.70,    -80.70,  -9999.00,  -9999.00
    8.30,  32411.40,    -46.10,    -81.10,  -9999.00,  -9999.00
    8.00,  32657.16,    -44.10,    -80.10,  -9999.00,  -9999.00
    7.80,  32826.69,    -44.70,    -79.70,  -9999.00,  -9999.00
    7.40,  33181.06,    -41.70,    -77.70,  -9999.00,  -9999.00
    7.35,  33223.00,    -41.70,    -77.70,    270.00,     33.99
    7.10,  33461.46,    -41.70,    -77.70,  -9999.00,  -9999.00
